1;44.6;32;82;0.2;2%;32;1.3;1.2;oui
2;44.5;32;82;0.2;2%;32;1.3;1.2;oui
3;44.7;32;82;0.2;2%;32;1.3;1.2;oui
4;43.9;32;82;0.2;2%;32;1.3;1.2;oui
5;44;32;82;0.2;2%;32;1.3;1.2;oui
6;44;32;82;0.2;2%;32;1.3;1.2;oui
7;44;32;82;0.2;2%;32;1.3;1.2;oui
8;44;32;82;0.2;2%;32;1.3;1.2;oui
9;44;32;82;0.2;2%;32;1.3;1.2;oui
10;44;32;82;0.2;2%;32;1.3;1.2;oui
11;44;32;82;0.2;2%;32;1.3;1.2;oui
12;44;32;82;0.2;2%;32;1.3;1.2;non
13;44;32;82;0.2;2%;32;1.3;1.2;oui
14;44;32;82;0.2;2%;32;1.3;1.2;oui
15;44;32;82;0.2;2%;32;1.3;1.2;oui
16;44;32;82;0.2;2%;32;1.3;1.2;non
